word,frequency,first-appearance,last-appearance
the,204,1.00,1.01
was,114,1.00,1.01
a,100,1.00,1.01
and,96,1.00,1.01
her,81,1.00,1.01
she,74,1.00,1.01
to,73,1.00,1.01
of,66,1.00,1.01
it,54,1.00,1.01
Erin,53,1.01,1.01
in,43,1.00,1.01
The,32,1.00,1.01
at,32,1.00,1.01
had,30,1.00,1.01
She,30,1.00,1.01
that,29,1.00,1.01
inn,26,1.00,1.01
It,22,1.00,1.01
on,22,1.00,1.01
But,22,1.00,1.01
as,20,1.00,1.01
up,19,1.00,1.01
with,17,1.00,1.01
room,17,1.00,1.01
there,16,1.00,1.01
not,16,1.00,1.01
could,16,1.00,1.01
this,15,1.00,1.01
one,14,1.00,1.01
she’d,14,1.00,1.01
dark,13,1.00,1.01
around,13,1.00,1.01
but,13,1.00,1.01
back,13,1.00,1.01
be,13,1.00,1.01
been,13,1.00,1.01
least,13,1.00,1.01
dustrag,13,1.01,1.01
dust,12,1.00,1.01
heart,12,1.01,1.01
all,11,1.00,1.01
for,11,1.00,1.01
place,11,1.00,1.01
would,11,1.00,1.01
felt,11,1.00,1.01
herself,11,1.00,1.01
So,11,1.00,1.01
found,11,1.01,1.01
looked,11,1.01,1.01
floor,11,1.01,1.01
an,10,1.00,1.01
young,10,1.00,1.01
made,10,1.01,1.01
just,10,1.01,1.01
still,9,1.00,1.01
And,9,1.00,1.01
woman,9,1.00,1.01
world,9,1.00,1.01
into,9,1.00,1.01
first,9,1.00,1.01
like,9,1.00,1.01
empty,8,1.00,1.01
wasn’t,8,1.00,1.01
Her,8,1.00,1.01
After,8,1.00,1.01
no,8,1.00,1.01
time,8,1.00,1.01
outside,8,1.00,1.01
very,8,1.00,1.01
bucket,8,1.01,1.01
A,7,1.00,1.01
were,7,1.00,1.01
from,7,1.00,1.01
what,7,1.00,1.01
thought,7,1.00,1.01
or,7,1.00,1.01
probably,7,1.00,1.01
I,7,1.00,1.01
if,7,1.00,1.01
sat,7,1.00,1.01
That,7,1.00,1.01
only,7,1.00,1.01
have,7,1.01,1.01
Dragon,7,1.01,1.01
then,7,1.01,1.01
off,7,1.01,1.01
tables,7,1.01,1.01
find,6,1.00,1.01
something,6,1.00,1.01
long,6,1.00,1.01
door,6,1.00,1.01
second,6,1.00,1.01
She’d,6,1.00,1.01
going,6,1.00,1.01
eyes,6,1.00,1.01
rain,6,1.00,1.01
here,6,1.00,1.01
really,6,1.00,1.01
is,6,1.01,1.01
so,6,1.01,1.01
At,6,1.01,1.01
didn’t,6,1.01,1.01
kind,6,1.01,1.01
bar,6,1.01,1.01
other,5,1.00,1.01
ground,5,1.00,1.01
way,5,1.00,1.01
did,5,1.00,1.01
,5,1.00,1.01
rest,5,1.00,1.01
else,5,1.00,1.01
In,5,1.00,1.01
girl,5,1.00,1.01
go,5,1.00,1.01
against,5,1.00,1.01
tried,5,1.00,1.01
darkness,5,1.00,1.01
There,5,1.00,1.01
some,5,1.00,1.01
began,5,1.00,1.01
opened,5,1.00,1.01
No,5,1.01,1.01
hadn’t,5,1.01,1.01
step,5,1.01,1.01
This,5,1.01,1.01
another,5,1.01,1.01
If,5,1.01,1.01
out,5,1.01,1.01
clean,5,1.01,1.01
down,5,1.01,1.01
nothing,5,1.01,1.01
table,5,1.01,1.01
walls,4,1.00,1.01
few,4,1.00,1.01
For,4,1.00,1.01
burned,4,1.00,1.01
right,4,1.00,1.01
fabric,4,1.00,1.01
legs,4,1.00,1.01
by,4,1.00,1.01
every,4,1.00,1.01
hungry,4,1.00,1.01
name,4,1.00,1.01
traveler,4,1.00,1.01
creaked,4,1.00,1.01
common,4,1.00,1.01
where,4,1.00,1.01
However,4,1.00,1.01
known,4,1.00,1.01
wrong,4,1.00,1.01
decided,4,1.00,1.01
bathroom,4,1.01,1.01
took,4,1.01,1.01
start,4,1.01,1.01
see,4,1.01,1.01
Erin’s,4,1.01,1.01
even,4,1.01,1.01
head,4,1.01,1.01
wood,4,1.01,1.01
staircase,4,1.01,1.01
run,4,1.01,1.01
dusty,4,1.01,1.01
chairs,4,1.01,1.01
should,4,1.01,1.01
Now,4,1.01,1.01
Then,4,1.01,1.01
paused,4,1.01,1.01
cleaning,4,1.01,1.01
water,4,1.01,1.01
stairs,4,1.01,1.01
better,4,1.01,1.01
